word,word_count,rank,,Total,120432
givetvis,16,933,,,
cirka,16,934,,,
risk,16,935,,,
tiden,16,936,,,
migrationspolitik,16,937,,,
at,16,938,,,
lättare,16,939,,,
effektiv,16,940,,,
tyvärr,16,941,,,
sett,16,942,,,
allvarligt,16,943,,,
anslag,16,944,,,
projekt,16,945,,,
kontroller,16,946,,,
via,16,947,,,
jämställdhet,16,948,,,
synnerhet,16,949,,,
fsta,16,950,,,
framfrallt,16,951,,,
problemen,16,952,,,
näringslivet,16,953,,,
lagen,16,954,,,
behs,16,955,,,
externa,16,956,,,
19,16,957,,,
intresse,16,958,,,
sverigedemokrater,16,959,,,
aktiviteter,16,960,,,
allmänheten,16,961,,,
enskilde,16,962,,,
typer,16,963,,,
ålder,16,964,,,
brottsoffer,16,965,,,
råder,16,966,,,
ppen,16,967,,,
styrelser,16,968,,,
exakt,16,969,,,
sträva,16,970,,,
frutsättning,16,971,,,
byggnader,16,972,,,
sexuella,16,973,,,
skolans,16,974,,,
verktyg,16,975,,,
delade,16,976,,,
hälften,16,977,,,
vårdplatser,16,978,,,
fem,16,979,,,
polisens,16,980,,,
hälso-och,16,981,,,
baseras,16,982,,,
perioden,16,983,,,
figur,16,984,,,
brå,16,985,,,
frbund,16,986,,,
datum,16,987,,,
handlingarna,16,988,,,
närvara,16,989,,,
kulturell,15,990,,,
unika,15,991,,,
skydda,15,992,,,
upplever,15,993,,,
infras,15,994,,,
valda,15,995,,,
avskaffas,15,996,,,
motsvarande,15,997,,,
28,15,998,,,
målsättning,15,999,,,
syftar,15,1000,,,
deltagande,15,1001,,,
illegalt,15,1002,,,
vägar,15,1003,,,
allra,15,1004,,,
dit,15,1005,,,
vistas,15,1006,,,
risken,15,1007,,,
statliga,15,1008,,,
värnar,15,1009,,,
konsekvenser,15,1010,,,
snarare,15,1011,,,
socialt,15,1012,,,
utreda,15,1013,,,
tillfällen,15,1014,,,
mte,15,1015,,,
22,15,1016,,,
frtroende,15,1017,,,
frändringar,15,1018,,,
valsedlar,15,1019,,,
rr,15,1020,,,
direkta,15,1021,,,
lsningar,15,1022,,,
utgår,15,1023,,,
frågan,15,1024,,,
ställs,15,1025,,,
organisation,15,1026,,,
kontakt,15,1027,,,
32,15,1028,,,
resurserna,15,1029,,,
ansvarar,15,1030,,,
redovisning,15,1031,,,
hållas,15,1032,,,
balans,15,1033,,,
naturen,15,1034,,,
landsbygden,15,1035,,,
kollektivtrafiken,15,1036,,,
nyanlända,15,1037,,,
miljoner,15,1038,,,
trakasserier,15,1039,,,
fbättra,15,1040,,,
regioner,15,1041,,,
kompensation,15,1042,,,
utländsk,15,1043,,,
anmälda,15,1044,,,
upplsning,15,1045,,,
kandidatur,15,1046,,,
distriktsstämman,15,1047,,,
präglas,14,1048,,,
utanf,14,1049,,,
sidan,14,1050,,,
mligheten,14,1051,,,
ar,14,1052,,,
freträdare,14,1053,,,
svenskar,14,1054,,,
motsvarar,14,1055,,,
aktuella,14,1056,,,
utg,14,1057,,,
led,14,1058,,,
färre,14,1059,,,
befintliga,14,1060,,,
utrikespolitiken,14,1061,,,
fslag,14,1062,,,
skillnad,14,1063,,,
kning,14,1064,,,
inslag,14,1065,,,
migranter,14,1066,,,
individer,14,1067,,,
därtill,14,1068,,,
frihet,14,1069,,,
missbruk,14,1070,,,
flytta,14,1071,,,
december,14,1072,,,
befinner,14,1073,,,
godkännande,14,1074,,,
bevaras,14,1075,,,
flesta,14,1076,,,
driva,14,1077,,,
framfr,14,1078,,,
anpassa,14,1079,,,
rad,14,1080,,,
ses,14,1081,,,
jämfrt,14,1082,,,
igenom,14,1083,,,
riktning,14,1084,,,
lsa,14,1085,,,
sannolikt,14,1086,,,
värde,14,1087,,,
vilar,14,1088,,,
frivillig,14,1089,,,
vem,14,1090,,,
kommunicerar,14,1091,,,
talar,14,1092,,,
bryta,14,1093,,,
lyfta,14,1094,,,
skiljer,14,1095,,,
partierna,14,1096,,,
riktiga,14,1097,,,
landsbygd,14,1098,,,
inverkan,14,1099,,,
naturliga,14,1100,,,
lag,14,1101,,,
hem,14,1102,,,
skolorna,14,1103,,,
du,14,1104,,,
24,14,1105,,,
barnomsorg,14,1106,,,
40,14,1107,,,
service,14,1108,,,
enbart,14,1109,,,
sysselsättning,14,1110,,,
barn-och,14,1111,,,
freningar,14,1112,,,
barnen,14,1113,,,
flickor,14,1114,,,
modell,14,1115,,,
äldreomsorgen,14,1116,,,
internationell,14,1117,,,
oktober,14,1118,,,
mäns,14,1119,,,
regeringar,14,1120,,,
lärarna,14,1121,,,
fritidshemmen,14,1122,,,
verordnat,14,1123,,,
migration,13,1124,,,
ihop,13,1125,,,
känsla,13,1126,,,
framtid,13,1127,,,
välfungerande,13,1128,,,
nordiskt,13,1129,,,
stärkt,13,1130,,,
nordisk,13,1131,,,
naturlig,13,1132,,,
europeisk,13,1133,,,
terrorism,13,1134,,,
bevarandet,13,1135,,,
människors,13,1136,,,
idéer,13,1137,,,
vända,13,1138,,,
självbestämmande,13,1139,,,
politiker,13,1140,,,
infas,13,1141,,,
institutioner,13,1142,,,
centrala,13,1143,,,
låta,13,1144,,,
gränsverskridande,13,1145,,,
principen,13,1146,,,
kommit,13,1147,,,
behålla,13,1148,,,
årligen,13,1149,,,
freslår,13,1150,,,
betala,13,1151,,,
praktiken,13,1152,,,
behva,13,1153,,,
riga,13,1154,,,
gränser,13,1155,,,
öka,13,1156,,,
hjälpa,13,1157,,,
återvandring,13,1158,,,
uppmuntra,13,1159,,,
eventuella,13,1160,,,
gälla,13,1161,,,
anledning,13,1162,,,
inklusive,13,1163,,,
sätta,13,1164,,,
bedriva,13,1165,,,
uter,13,1166,,,
regel,13,1167,,,
hgsta,13,1168,,,
berrda,13,1169,,,
faktorer,13,1170,,,
digitala,13,1171,,,
framtiden,13,1172,,,
skydd,13,1173,,,
hja,13,1174,,,
geografiska,13,1175,,,
uppstår,13,1176,,,
normer,13,1177,,,
rimligt,13,1178,,,
delvis,13,1179,,,
parter,13,1180,,,
aktrer,13,1181,,,
lner,13,1182,,,
bär,13,1183,,,
familj,13,1184,,,
gått,13,1185,,,
statens,13,1186,,,
utsätts,13,1187,,,
tillstånd,13,1188,,,
prata,13,1189,,,
vårda,13,1190,,,
ändras,13,1191,,,
organisationen,13,1192,,,
utbyggd,13,1193,,,
generellt,13,1194,,,
fel,13,1195,,,
erfarenhet,13,1196,,,
mobila,13,1197,,,
50,13,1198,,,
strukturella,13,1199,,,
alternativ,13,1200,,,
rimlig,13,1201,,,
frespråkar,13,1202,,,
stdet,13,1203,,,
timmar,13,1204,,,
fyra,13,1205,,,
effekter,13,1206,,,
arbetsmilj,13,1207,,,
fokuserar,13,1208,,,
svårigheter,13,1209,,,
frekomma,13,1210,,,
skyldigheter,13,1211,,,
organ,13,1212,,,
administrativa,13,1213,,,
stimulansbidrag,13,1214,,,
utskott,13,1215,,,
totalt,13,1216,,,
poliserna,13,1217,,,
karriärvägar,13,1218,,,
skolinspektionen,13,1219,,,
frslagsrätt,13,1220,,,
kandidaterna,13,1221,,,
ersättare,13,1222,,,
